Cell	CellType	Plot_X	Plot_Y
GSM2656741	Pvalb.C1ql1.Pvalb	-45.431837	-92.055894
GSM2656835	Cacna2d1.Lhx6.Reln	-51.802917	-34.770511
GSM2656837	Pvalb.C1ql1.Pvalb	-41.973948	-88.126187
GSM2656850	Pvalb.Tac1.Sst	6.351124	-55.609061
GSM2656852	Cacna2d1.Lhx6.Reln	-48.119683	-33.240981
GSM2656855	Pvalb.C1ql1.Cpne5	-39.815605	-85.501456
GSM2656896	Pvalb.Tac1.Syt2	-6.917275	-66.189464
GSM2656903	Cacna2d1.Lhx6.Reln	-56.499022	-28.848136
GSM2656942	Pvalb.Tac1.Syt2	-11.402467	-54.299494
GSM2656944	Pvalb.Tac1.Sst	9.264503	-58.282704
GSM2656983	Pvalb.C1ql1.Npy	-51.86417700000001	-62.69830500000001
GSM2657007	Cacna2d1.Lhx6.Vwa5a	-52.415464	-24.884324
GSM2657016	Cacna2d1.Lhx6.Reln	-55.793274	-28.24297
GSM2657075	Pvalb.Tac1.Sst	8.574373	-71.11289599999998
GSM2657077	Cacna2d1.Lhx6.Reln	-46.253839	-21.772518
GSM2657118	Pvalb.Tac1.Syt2	-3.613713	-56.182508
GSM2657129	Pvalb.Tac1.Syt2	-11.593278	-54.011119
GSM2657153	Sst.Erbb4.Th	5.427881	-38.303203
GSM2657158	Sst.Erbb4.Crh	23.301144	-48.22395
GSM2657161	Cacna2d1.Lhx6.Reln	-55.30435600000001	-36.979314
GSM2657182	Pvalb.Tac1.Sst	11.453614	-59.19504000000001
GSM2657185	Pvalb.Tac1.Syt2	-6.275549	-66.45485500000001
GSM2657191	Pvalb.Tac1.Akr1c18	4.116763	-72.58801
GSM2657197	Cacna2d1.Lhx6.Reln	-44.703101	-24.5198
GSM2657198	Pvalb.C1ql1.Pvalb	-47.157042	-91.185225
GSM2657200	Pvalb.Tac1.Sst	1.607758	-31.629926
GSM2657235	Pvalb.Tac1.Nr4a2	-5.34785	-51.13767
GSM2657247	Sst.Erbb4.Th	-0.676539	-41.283694
GSM2657264	Pvalb.Tac1.Syt2	-9.487904	-53.739186
GSM2657269	Cacna2d1.Lhx6.Reln	-45.528418	-24.250103
GSM2657306	Sst.Erbb4.Th	10.148787	-42.803937
GSM2657345	Pvalb.Tac1.Syt2	-5.6605089999999985	-64.60079
GSM2657385	Sst.Erbb4.Th	6.079168	-55.126649
GSM2657396	Pvalb.Tac1.Syt2	-5.478083	-63.202484
GSM2657410	Cacna2d1.Lhx6.Reln	-46.94084	-38.835641
GSM2657436	Cacna2d1.Lhx6.Reln	-47.687763	-19.299028
GSM2657444	Pvalb.C1ql1.Cpne5	-38.308738	-81.20734200000003
GSM2657494	Pvalb.Tac1.Akr1c18	-12.390606	-55.138787
GSM2657523	Pvalb.C1ql1.Npy	-54.88216	-76.950637
GSM2657567	Pvalb.C1ql1.Cpne5	-45.058905	-73.326531
GSM2657570	Sst.Pnoc.Pvalb	22.126229	-37.42441
GSM2657586	Pvalb.Tac1.Sst	-3.967629	-38.798732
GSM2657590	Pvalb.Tac1.Sst	-6.864264	-30.88644600000001
GSM2657611	Pvalb.C1ql1.Pvalb	-53.790539	-89.573418
GSM2657616	Pvalb.Tac1.Nr4a2	-6.6775210000000005	-50.053766
GSM2657627	Pvalb.Tac1.Syt2	-7.743722999999999	-67.36083599999999
GSM2657640	Cacna2d1.Lhx6.Reln	-50.914953	-29.91235
GSM2657648	Pvalb.Tac1.Akr1c18	-0.8852559999999999	-79.011471
GSM2657665	Sst.Erbb4.Crh	1.655454	-31.697209
GSM2657673	Pvalb.C1ql1.Pvalb	-42.632791	-70.052068
GSM2657729	Pvalb.C1ql1.Cpne5	-43.50892	-70.858684
GSM2657754	Pvalb.Tac1.Sst	-5.388615	-50.24333
GSM2657796	Pvalb.Tac1.Sst	1.046699	-56.856913
GSM2657811	Pvalb.Tac1.Sst	0.75481	-58.136747
GSM2657815	Pvalb.Tac1.Syt2	0.613354	-56.928012
GSM2657826	Pvalb.Tac1.Akr1c18	-11.687596	-55.945715
GSM2657860	Pvalb.C1ql1.Pvalb	-43.351702	-88.97578100000001
GSM2657925	Sst.Erbb4.Th	3.899239	-42.089453000000006
GSM2657933	Cacna2d1.Lhx6.Reln	-47.39999	-35.486896
GSM2657944	Sst.Pnoc.Pvalb	28.35689600000001	-37.128059
GSM2657961	Pvalb.C1ql1.Cpne5	-42.835219	-88.52006999999998
GSM2657989	Pvalb.Tac1.Syt2	-4.269229	-65.671237
GSM2658045	Pvalb.C1ql1.Npy	-52.986782	-62.564682
GSM2658048	Pvalb.C1ql1.Pvalb	-49.038114	-88.097675
GSM2658052	Cacna2d1.Lhx6.Reln	-48.475143	-24.764807
GSM2658053	Cacna2d1.Lhx6.Reln	-47.840656	-20.015712
