Cell	CellType	Plot_X	Plot_Y
O24	hBIC		
O31	vBIC		
O32	vBIC		
O36	vBC		
O39	vBC		
O41	vAAC		
O44	vBIC		
O46	vBC		
O47	vBC		
O48	vBC		
O49	vBC		
O52	vBC		
O54	hBC		
O55	vBC		
O56	vBIC		
O58	hBC		
O60	vBC		
O61	hBIC		
O62	vBC		
O65	hBC		
O66	hBIC		
O71	hBIC		
O73	vBC		
O76	vBIC		
O78	hBIC		
O80	vBC		
O87	vBIC		
O89	vAAC		
O90	vBC		
O100	vBC		
O102	hBC		
O103	vBC		
O104	hBIC		
O106	hBC		
O109	vBC		
O111	vBC		
O113	vBC		
O117	vBC		
O125	hBIC		
O127	vAAC		
O128	vBC		
O129	vBC		
O130	vBC		
O131	vBC		
O132	vAAC		
O134	vBIC		
O135	vBC		
O137	vBC		
O141	vBIC		
O145	vBC		
O147	vAAC		
O149	vAAC		
O151	hBIC		
O159	hBIC		
O160	vBC		
O162	hBC		
O164	vAAC		
O165	vBIC		
O171	vBC		
O204	vBC		
O205	hBC		
O210	vBC		
O216	vBC		
O222	vBC		
O240	vBC		
O242	vBC		
O243	vBC		
O248	hBC		
O250	vBC	0.657708	-10.473516
O255	vBC		
O284	vBC		
O285	vBC		
O286	vBC		
O287	vBC		
O290	vBC		
O292	vBC		
O296	vBC		
O297	vBC		
O299	vBC		
O301	vBC		
O427	hBIC		
O430	vBC		
O433	hBIC		
O434	hBC		
O435	vBC		
O439	hBC		
O440	hBC		
O454	vBC		
