Cell	CellType	Plot_X	Plot_Y
GSM2656741	Pvalb.C1ql1.Pvalb	-45.431837	-92.055894
GSM2656743	Calb2.Vip.Nos1	64.967641	39.354315
GSM2656749	Sst.Nos1	101.243109	21.465392
GSM2656751	Cacna2d1.Ndnf.Npy	-33.92458	-0.247527
GSM2656770	Cacna2d1.Lhx6.Reln	-73.18344499999998	-35.799283
GSM2656788	Cacna2d1.Lhx6.Reln	-59.869035	-28.089371000000003
GSM2656797	Calb2.Cryab	0.333176	17.330842999999998
GSM2656804	Calb2.Cryab	-2.699433	18.666589
GSM2656809	Cacna2d1.Lhx6.Reln	-72.171439	-37.079035
GSM2656829	Calb2.Vip.Nos1	57.33073100000001	45.637876
GSM2656831	Calb2.Vip.Gpd1	55.070565	43.042329
GSM2656835	Cacna2d1.Lhx6.Reln	-51.802917	-34.770511
GSM2656836	Sst.Npy.Serpine2	76.58512900000002	-16.500892999999998
GSM2656837	Pvalb.C1ql1.Pvalb	-41.973948	-88.126187
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	-12.642659	73.746133
GSM2656850	Pvalb.Tac1.Sst	6.351124	-55.609061
GSM2656852	Cacna2d1.Lhx6.Reln	-48.119683	-33.240981
GSM2656855	Pvalb.C1ql1.Cpne5	-39.815605	-85.501456
GSM2656867	Sst.Pnoc.Calb1.Pvalb	70.35974	-57.997936
GSM2656868	Ntng1.Synpr	-11.247609	60.645752
GSM2656869	Calb2.Vip.Igfbp4	60.324221	26.11227
GSM2656870	Cacna2d1.Lhx6.Reln	-63.005978000000006	-28.534804
GSM2656892	Cck.Calca	-71.698621	54.82626
GSM2656894	Calb2.Cntnap5a.Rspo3	17.508547	15.28417
GSM2656896	Pvalb.Tac1.Syt2	-6.917275	-66.189464
GSM2656900	Cacna2d1.Ndnf.Cxcl14	-11.533243	12.289057
GSM2656903	Cacna2d1.Lhx6.Reln	-56.499022	-28.848136
GSM2656905	Cck.Lmo1.Npy	-52.407445	60.073073
GSM2656924	Sst.Npy.Serpine2	39.355507	-15.741829
GSM2656926	Cck.Cxcl14.Calb1.Tac2	9.415525	81.246739
GSM2656928	Cck.Cxcl14.Calb1.Igfbp5	-0.185422	81.279195
GSM2656931	Cacna2d1.Lhx6.Reln	-59.396214	-40.981268
GSM2656934	Cck.Cxcl14.Vip	21.398679	74.457792
GSM2656942	Pvalb.Tac1.Syt2	-11.402467	-54.299494
GSM2656944	Pvalb.Tac1.Sst	9.264503	-58.282704
GSM2656957	Calb2.Vip.Gpd1	52.99675500000001	42.106168
GSM2656965	Cacna2d1.Lhx6.Reln	-63.704936	-47.676573
GSM2656973	Sst.Pnoc.Calb1.Igfbp5	36.653827	-49.655466
GSM2656979	Cacna2d1.Ndnf.Rgs10	-8.491199	2.845951
GSM2656983	Pvalb.C1ql1.Npy	-51.86417700000001	-62.69830500000001
GSM2656984	Cacna2d1.Lhx6.Reln	-66.337816	-36.479747
GSM2656996	Cacna2d1.Ndnf.Cxcl14	0.372167	17.918741
GSM2656998	Sst.Pnoc.Calb1.Igfbp5	49.724364	-64.32200999999999
GSM2657003	Ntng1.Chrm2	-83.146142	15.76434
GSM2657007	Cacna2d1.Lhx6.Vwa5a	-52.415464	-24.884324
GSM2657016	Cacna2d1.Lhx6.Reln	-55.793274	-28.24297
GSM2657025	Ntng1.Synpr	13.260108	36.526782
GSM2657027	Calb2.Cntnap5a.Rspo3	19.689848	37.239684
GSM2657031	Sst.Npy.Serpine2	46.895064	-21.416088
GSM2657039	Ntng1.Rgs10	-54.879135	14.888878
GSM2657040	Cck.Sema5a	-73.454911	39.78718
GSM2657042	Ntng1.Synpr	-50.170912	21.316049
GSM2657045	Sst.Pnoc.Pvalb	53.60957	-27.898013
GSM2657048	Cacna2d1.Ndnf.Npy	-17.296978	12.912566
GSM2657051	Cacna2d1.Ndnf.Npy	-28.0591	-5.178814
GSM2657058	Cacna2d1.Ndnf.Npy	-32.930820000000004	0.8429969999999999
GSM2657064	Sst.Npy.Serpine2	69.168807	-10.418693
GSM2657072	Cck.Calca	-62.15234	48.388123
GSM2657075	Pvalb.Tac1.Sst	8.574373	-71.11289599999998
GSM2657077	Cacna2d1.Lhx6.Reln	-46.253839	-21.772518
GSM2657086	Cacna2d1.Lhx6.Reln	-78.871449	-17.956935
GSM2657105	Cck.Sema5a	-66.569347	34.52475
GSM2657113	Sst.Cryab	-66.705301	-17.475125
GSM2657118	Pvalb.Tac1.Syt2	-3.613713	-56.182508
GSM2657126	Cck.Sema5a	-60.58336800000001	28.377895
GSM2657129	Pvalb.Tac1.Syt2	-11.593278	-54.011119
GSM2657132	Calb2.Vip.Igfbp4	65.257972	30.431234000000003
GSM2657134	Sst.Npy.Serpine2	75.29193599999998	-18.379168
GSM2657137	Cck.Lmo1.Npy	-59.12931500000001	59.242961
GSM2657144	Cacna2d1.Ndnf.Npy	-5.185203	2.358246
GSM2657153	Sst.Erbb4.Th	5.427881	-38.303203
GSM2657158	Sst.Erbb4.Crh	23.301144	-48.22395
GSM2657161	Cacna2d1.Lhx6.Reln	-55.30435600000001	-36.979314
GSM2657167	Cacna2d1.Ndnf.Rgs10	-26.110313	10.083822
GSM2657173	Sst.Npy.Serpine2	81.039454	-26.313008
GSM2657176	Calb2.Vip.Igfbp4	18.643906	40.025926
GSM2657182	Pvalb.Tac1.Sst	11.453614	-59.19504000000001
GSM2657185	Pvalb.Tac1.Syt2	-6.275549	-66.45485500000001
GSM2657191	Pvalb.Tac1.Akr1c18	4.116763	-72.58801
GSM2657196	Cacna2d1.Lhx6.Reln	-80.42325600000002	-20.958975
GSM2657197	Cacna2d1.Lhx6.Reln	-44.703101	-24.5198
GSM2657198	Pvalb.C1ql1.Pvalb	-47.157042	-91.185225
GSM2657199	Cacna2d1.Lhx6.Vwa5a	-79.70796800000002	-34.306072
GSM2657200	Pvalb.Tac1.Sst	1.607758	-31.629926
GSM2657214	Cck.Lypd1	-15.783715	37.644437
GSM2657235	Pvalb.Tac1.Nr4a2	-5.34785	-51.13767
GSM2657237	Cacna2d1.Lhx6.Vwa5a	-79.392115	-33.658401
GSM2657240	Cck.Sema5a	-61.421174	34.521355
GSM2657241	Cacna2d1.Lhx6.Reln	-63.501177	-27.803879
GSM2657247	Sst.Erbb4.Th	-0.676539	-41.283694
GSM2657254	Cck.Lmo1.Vip.Crh	-36.717368	48.384017
GSM2657262	Calb2.Vip.Igfbp4	30.109867	37.046005
GSM2657264	Pvalb.Tac1.Syt2	-9.487904	-53.739186
GSM2657269	Cacna2d1.Lhx6.Reln	-45.528418	-24.250103
